whaleName,Species,IndNum
bb180304-42,Minke,1
bb190224-52,Minke,2
bb190225-54,Minke,3
bb190225-55,Minke,4
bb190228-55b,Minke,5
bb190302-48,Minke,6
bb190302-52,Minke,7
bb190302-53,Minke,8
bb190304-18,Minke,9
bb190309-52,Minke,10
bp180828-44,Fin,11
bw170813-44,Blue,12
bw170814-31,Blue,13
bw170814-40,Blue,14
bw170814-50,Blue,15
bw170814-51,Blue,16
bw170815-28,Blue,17
bw170815-43,Blue,18
bw170816-27,Blue,19
bw170816-51,Blue,20
bw180827-52,Blue,21
bw180828-49,Blue,22
bw180829-30,Blue,23
bw180829-47,Blue,24
bw180830-40,Blue,25
bw180830-42,Blue,26
bw180830-46,Blue,27
bw180830-49,Blue,28
bw180830-52b,Blue,29
bw180904-44,Blue,30
bw180905-42,Blue,31
bw180905-49,Blue,32
bw180905-53,Blue,33
mn170703-40,Humpback,34
mn180227-44,Humpback,35
mn180302-47,Humpback,36
mn190225-40,Humpback,37
mn190228-42,Humpback,38
mn190228-44,Humpback,39
mn190305-44,Humpback,40
mn190306-42,Humpback,41
mn190309-44b,Humpback,42
