LungeI,timeoflunge,depth,lungecat,PosFluSt,PosSpdInc,PosMaxSpd,PosBegDecel,PosEndDecel,PosMinSpd,PosDownStr,PosMaxGape,PosGyroFin,LengthFlu,LengthAcc,LengthAdj,LengthDecel,LengthGyro,AccelDecelRatio,SpdFluSt,SpdAtInc,PitchAtInc,MaxSpd,MaxSpdPitch,SpdBegDecel,PitchBegDecel,SpdEndDecel,PitchEndDecel,MinSpd,AccelSpdGain,AccelPitchChng,DecelSpdLoss,DecelPitchChng,SlpAccel,SlpDecel,AccelDecelSlpRatio,RectApproxDist,SpeedIntegrDist,TotLength,whaleName,Species,Location,MaxDiam,ModelWaterEngulfClosing,ModelWaterEngulfOpening,ModelWaterEngulfFull,ModelWaterEngulfFullKg,LengthVGB,VposShirel,VantShirel,ModelWaterEngulfFullShirel,ModelWaterEngulfFullShirelKg,VposShirelDroneMorphs,VantShirelDroneMorphs,VtotShirelDroneMorphs,MassSKR,EnCost,EnCostkJ,EnCostMS,PreyBiomassTop50,PreyEnDensity,EnPerCubeMeter,EnPerKgWater,EnPerLunge,EnPerLungeMS,EnPerLungeShirel,EnRatio,EnRatioShirel,EnPerVpos,EnPerVant,DiveStartPos,DiveEndPos,NumOfLungesInDive,EnCostkJPerDive,EnPerDive,EnRatioDive,EnCostkJPerDay,EnPerDay,EnRatioDay,EngulfDistanceTravelled,DistancePerVGBLength,EngulfmentDrag,ShapeDragMinusThrust,Vmin,Deceleration,E2E,R2BH,JawAreaDirectMeasure,JawAreaTriangleApprox,ShirelFilterTimeApprox,LengthLunge,LengthLungePlusFilter,ROBMetabolic
36112,15:35:48,156.852272,103,36011,36030,36115,36119,36126,36150,36109,36122,36136,10.4,8.5,0.4,0.7,2.7,7.8,2.945628661,3.128306681,-32.05988515,6.233883081,17.44528941,5.934906634,17.06519962,3.878268286,37.44888735,1.87313263,3.1055764,49.50517455,2.056638348,20.38368773,0.365361929,-2.938054783,-8.041491318,0.719823422,0.880772213,8.150267839,bb180304-42,Minke,Antarctic,1.54,1.518671632,1.864008055,3.382679688,3467.24668,3.8674004,1.985452251,1.324735888,3.325757889,3408.901836,2.926759896,2.132214972,5.058974868,6627.909797,1562508.111,1562.508111,235.7467375,0.212684817,4575,973.0330394,0.973033039,2833.946282,427.5776782,2786.258255,1.813716206,1.783196027,1561.631365,1272.314917,33871,37449,8,13854.13952,22671.57026,1.636447376,2246453.035,3420573.162,1.522655096,3.49273,0.903120866,19209.87548,263.2865954,3.37085067,2.938054783,1.31,1.63,1.139712718,1.122522401,8.689557614,9.6,18.28955761,4818.770925
27683,15:21:45,138.9868657,103,27576,27586,27683,27688,27693,27723,27681,27690,27701,10.7,9.7,0.5,0.5,2,9.2,1.637119244,1.796597555,-15.29534027,5.008397033,28.46742839,4.462229526,19.25768569,3.496573652,34.4514789,1.962137949,3.211799479,43.76276866,0.965655874,15.19379321,0.331113348,-1.931311749,-5.832781308,0.241413969,0.281476867,8.150267839,bb180304-42,Minke,Antarctic,1.54,1.518671632,1.166419816,2.685091448,2752.218734,3.8674004,1.985452251,1.324735888,3.325757889,3408.901836,2.926759896,2.132214972,5.058974868,6627.909797,883134.5451,883.1345451,133.2448045,0.212684817,4575,973.0330394,0.973033039,2249.519797,339.4010882,2786.258255,2.547199416,3.154964632,977.2048808,1272.314917,26438,29571,8,8162.3105,17996.15838,2.204787281,1420051.259,2715170.395,1.912022807,1.98147,0.512351915,19246.67102,-6446.110964,2.732975636,1.931311748,1.31,1.63,1.139712718,1.122522401,8.689557614,10.7,19.38955761,4818.770925
60992,16:17:16,178.6352343,103,60915,60978,60991,60994,61001,61025,60989,61000,61014,7.6,1.3,0.3,0.7,2.5,0.6,2.713159249,2.160542233,3.844336917,3.54004743,12.7071004,3.371595136,12.44428803,2.554062202,32.06654079,1.566196905,1.379505197,8.862763485,0.817532933,19.62225276,1.061157843,-1.16790419,-1.100594221,0.286136527,0.317959885,8.150267839,bb180304-42,Minke,Antarctic,1.54,1.518671632,1.078813472,2.597485104,2662.422232,3.8674004,1.985452251,1.324735888,3.325757889,3408.901836,2.926759896,2.132214972,5.058974868,6627.909797,311177.8054,311.1778054,46.94961381,0.212684817,4575,973.0330394,0.973033039,2176.124828,328.327466,2786.258255,6.993187787,8.953910615,903.8099112,1272.314917,59224,62477,5,3068.019343,10880.62414,3.5464653,778556.0291,2626582.667,3.373659145,2.064915,0.533928424,9714.274269,-1973.510637,2.125265427,1.167904191,1.31,1.63,1.139712718,1.122522401,8.689557614,2.3,10.98955761,4818.770925
35815,15:35:18,148.3360717,103,35734,35747,35818,35822,35827,35845,35812,35821,35837,8.4,7.1,0.4,0.5,2.5,6.6,1.973240647,1.636666253,3.677858891,5.224349928,21.67086785,4.6121876,31.41060978,2.97991862,67.23139882,1.964199193,3.587683676,17.99300896,1.63226898,35.82078904,0.50530756,-3.26453796,-6.46049697,0.408067245,0.477649175,8.150267839,bb180304-42,Minke,Antarctic,1.54,1.518671632,1.125105489,2.643777121,2709.871549,3.8674004,1.985452251,1.324735888,3.325757889,3408.901836,2.926759896,2.132214972,5.058974868,6627.909797,831413.821,831.413821,125.4413301,0.212684817,4575,973.0330394,0.973033039,2214.907421,334.1788722,2786.258255,2.66402526,3.351229177,942.5925041,1272.314917,33871,37449,8,8067.065466,17719.25937,2.196493811,1373328.238,2673393.257,1.946652798,1.886005,0.487667375,16150.39337,5486.669754,3.553206357,3.26453796,1.31,1.63,1.139712718,1.122522401,8.689557614,8,16.68955761,4818.770925
70124,16:32:29,168.5994127,103,70058,70097,70127,70133,70139,70155,70122,70131,70145,6.9,3,0.6,0.6,2.3,2.4,2.952464828,3.022017917,-25.68445173,6.698267943,13.74538641,5.87109886,32.26285362,3.612096709,54.17274848,2.567065553,3.676250026,39.42983814,2.259002151,21.90989486,1.225416675,-3.765003585,-3.07242725,0.677700645,0.788128476,8.150267839,bb180304-42,Minke,Antarctic,1.54,1.518671632,1.236029407,2.754701039,2823.568565,3.8674004,1.985452251,1.324735888,3.325757889,3408.901836,2.926759896,2.132214972,5.058974868,6627.909797,1112506.026,1112.506026,167.851715,0.212684817,4575,973.0330394,0.973033039,2307.837421,348.1998838,2786.258255,2.074449367,2.504488236,1035.522505,1272.314917,67763,71057,8,10325.44065,18462.69937,1.788078591,1734708.304,2785559.767,1.605779923,2.84244,0.734974325,16998.33787,7955.766278,3.815858537,3.765003585,1.31,1.63,1.139712718,1.122522401,8.689557614,4.2,12.88955761,4818.770925
5424,14:44:39,64.86935168,103,5360,5379,5427,5430,5437,5450,5424,5432,5447,6.7,4.8,0.3,0.7,2.3,4.1,2.204866662,2.02605506,-34.23761157,5.707965953,19.51800051,5.279502427,18.19592413,2.930107844,64.64240562,1.834598311,3.681910893,53.75561208,2.349394583,46.44648149,0.767064769,-3.356277975,-4.375481849,0.822288104,0.906407188,8.150267839,bb180304-42,Minke,Antarctic,1.54,1.518671632,1.527218187,3.045889819,3122.037065,3.8674004,1.985452251,1.324735888,3.325757889,3408.901836,2.926759896,2.132214972,5.058974868,6627.909797,1009005.872,1009.005872,152.2359089,0.212684817,4575,973.0330394,0.973033039,2551.789979,385.0067453,2786.258255,2.529014003,2.761389534,1279.475062,1272.314917,2975,6229,6,7454.370063,15310.73987,2.053928064,1600477.608,3080010.505,1.924432113,2.84001,0.734345996,13068.43613,9176.671543,3.602786531,3.356277976,1.31,1.63,1.139712718,1.122522401,8.689557614,5.8,14.48955761,4818.770925
45267,15:51:03,161.2746111,103,45209,45238,45268,45271,45278,45301,45268,45274,45287,5.9,3,0.3,0.7,1.9,2.3,2.187668795,2.329479934,-16.40606461,6.54513343,27.48905471,6.350355085,17.2452557,3.761801048,45.8218811,2.037487654,4.215653496,43.89511933,2.588554037,28.5766254,1.405217832,-3.697934338,-2.631573734,0.905993913,1.068977603,8.150267839,bb180304-42,Minke,Antarctic,1.54,1.518671632,1.922889609,3.441561242,3527.600273,3.8674004,1.985452251,1.324735888,3.325757889,3408.901836,2.926759896,2.132214972,5.058974868,6627.909797,1476003.331,1476.003331,222.6951447,0.212684817,4575,973.0330394,0.973033039,2883.276156,435.0204279,2786.258255,1.953434721,1.887704585,1610.961238,1272.314917,42618,46410,9,14937.83216,25949.4854,1.737165415,2174612.802,3480114.32,1.600337456,3.57282,0.923829868,18957.32915,5552.246083,3.781718226,3.697934339,1.31,1.63,1.139712718,1.122522401,8.689557614,4,12.68955761,4818.770925
69826,16:31:59,166.7361066,103,69744,69779,69842,69849,69854,69875,69842,69850,69862,9.8,6.3,0.7,0.5,2,5.8,3.634708778,3.149552155,23.89935702,7.88102334,67.61158454,6.311366047,28.35448924,4.006513313,55.85138541,2.153242471,4.731471185,43.71222752,2.304852734,27.49689617,0.751027172,-4.609705468,-6.137867761,0.576213183,0.692761419,8.150267839,bb180304-42,Minke,Antarctic,1.54,1.518671632,1.544302605,3.062974237,3139.548593,3.8674004,1.985452251,1.324735888,3.325757889,3408.901836,2.926759896,2.132214972,5.058974868,6627.909797,1592908.853,1592.908853,240.3335141,0.212684817,4575,973.0330394,0.973033039,2566.102987,387.1662509,2786.258255,1.610954062,1.749163645,1293.78807,1272.314917,67763,71057,8,14041.44771,20528.8239,1.462016191,2295360.87,3097286.305,1.349367913,2.580775,0.667315182,25157.28647,5395.425563,4.222271518,4.609705468,1.31,1.63,1.139712718,1.122522401,8.689557614,7.5,16.18955761,4818.770925
5750,14:45:11,53.12121178,103,5669,5685,5751,5757,5763,5777,5749,5761,5777,8.2,6.6,0.6,0.6,2.8,6,1.552604335,1.532446094,-17.67436798,5.645821054,-16.80083857,5.176834715,-3.548576653,3.542092414,30.53700005,1.82477582,4.11337496,0.873529418,1.634742301,34.08557671,0.62323863,-2.724570502,-4.371632902,0.49042269,0.604623308,8.150267839,bb180304-42,Minke,Antarctic,1.54,1.518671632,1.140511681,2.659183313,2725.662896,3.8674004,1.985452251,1.324735888,3.325757889,3408.901836,2.926759896,2.132214972,5.058974868,6627.909797,1084172.015,1084.172015,163.5767607,0.212684817,4575,973.0330394,0.973033039,2227.814443,336.1262466,2786.258255,2.0548533,2.569941132,955.4995259,1272.314917,2975,6229,6,7847.54167,13366.88666,1.703321527,1679570.629,2688972.033,1.600987768,2.648145,0.684735152,16090.91645,1967.291076,3.24607533,2.724570502,1.31,1.63,1.139712718,1.122522401,8.689557614,7.8,16.48955761,4818.770925
51774,16:01:54,180.7771879,103,51685,51689,51779,51781,51788,51797,51779,51787,51799,9.4,9,0.2,0.7,2,8.3,2.087944975,2.028226217,27.86979324,6.883366766,52.67427044,6.742283125,28.84771602,4.122910334,48.81880591,2.34840989,4.855140549,24.8044772,2.619372791,19.9710899,0.539460061,-3.74196113,-6.936493359,0.916780477,1.155235859,8.150267839,bb180304-42,Minke,Antarctic,1.54,1.518671632,2.107410108,3.62608174,3716.733783,3.8674004,1.985452251,1.324735888,3.325757889,3408.901836,2.926759896,2.132214972,5.058974868,6627.909797,2148876.504,2148.876504,324.216317,0.212684817,4575,973.0330394,0.973033039,3037.864005,458.3441987,2786.258255,1.41369874,1.296611625,1765.549089,1272.314917,50102,53211,5,12004.00924,15189.32003,1.26535391,2952454.809,3666701.854,1.241916335,3.9103,1.011092619,21891.08589,2910.294944,3.804163768,3.74196113,1.31,1.63,1.139712718,1.122522401,8.689557614,9.9,18.58955761,4818.770925
