whaleName,Species,TotLength,LengthDecel,FinalGyroOsFreq,FinalGyrMinusOne,FinalGyrMinusTwo,FinalGyrMinusThree,FinalGyrMinusFour,FinalGyrMinusFive,FinalGyrMinusSix,FinalGyrMinusSeven,FinalGyrMinusEight,FinalGyrMinusNine,Individual
bb180304-42,Minke,8.12,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.5,2,1.4999925000375,1.6999864001088,1.4999925000375,1.1000011000011,1.1000011000011,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.7,2,2.3000138000828,1.8999848001216,1.8999848001216,1.6,1.3000013000013,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.5,2.3,2,1.7999856001152,1.3999916000504,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.5,1.5,2.5,1.6999864001088,1.3000013000013,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.8,2.3,2.3999808001536,2.8000224001792,2.19997800022,1.3000013000013,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.8,3.1,2.19997800022,1.7999856001152,1.6,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.7,2.2,2.5999688003744,1.6,1.6,1.6999864001088,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.7,2.1,2.3000138000828,1.6999864001088,0.900009000090001,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.7,2.3,3.1000062000124,1.6999864001088,1.6999864001088,2.1000021000021,3.0000300003,1.8999848001216,1.8999848001216,2,1.3999916000504,1
bb180304-42,Minke,8.12,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,1.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.6,2.2,2.19997800022,1.6999864001088,1,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.7,2.3,2.7000027000027,1.6999864001088,1.2000048000192,NaN,NaN,NaN,NaN,NaN,NaN,1
bb180304-42,Minke,8.12,0.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
bb190224-52,Minke,4.54,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
bb190224-52,Minke,4.54,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
bb190224-52,Minke,4.54,0.4,1.4,2,1.6,1.2000048000192,1.6,1.2000048000192,0.900009000090001,NaN,NaN,NaN,2
bb190224-52,Minke,4.54,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
