LungeI,timeoflunge,depth,PosFluSt,PosMaxSpd,PosBegDecel,PosEndDecel,PosMinSpd,PosDownStr,PosMaxGape,PosGyroFin,LengthAcc,LengthAdj,LengthDecel,LengthGyro,SpdFluSt,MaxSpd,SpdBegDecel,SpdEndDecel,MinSpd,lungecat
1155702,16:57:13,115.696279,1155537,1155702,1155702,1155759,1155888,1155701,1155734,1155773,16.5,0,5.7,7.2,1.375283763,5.502089831,5.502089831,1.75921712,1.441553394,103
1204013,18:17:44,138.342312,1203755,1204020,1204020,1204075,1204086,1204012,1204051,1204089,26.5,0,5.5,7.7,2.233916275,5.844176588,5.844176588,1.762782559,1.673219283,103
334979,18:09:20,134.0942541,334526,334978,334978,335025,335055,334966,334993,335034,45.2,0,4.7,6.8,1.252365614,4.728402298,4.728402298,1.324889878,1.284751394,103
1272127,20:11:15,25.6982045,1271717,1272128,1272143,1272189,1272251,1272131,1272162,1272186,41.1,1.5,4.6,5.5,1.312983917,4.416977678,4.424306728,1.656181328,1.426433619,103
1009515,12:53:34,140.8467938,1009047,1009514,1009514,1009565,1009584,1009495,1009538,1009587,46.7,0,5.1,9.2,1.414636828,4.273996367,4.273996367,1.363663696,1.288055737,103
138326,12:41:35,99.41093767,138108,138326,138326,138372,138425,138307,138348,138384,21.8,0,4.6,7.7,1.272136591,4.839802734,4.839802734,1.307066251,1.233152953,103
781580,6:33:40,83.53678046,781474,781581,781599,781636,781653,781585,781610,781656,10.7,1.8,3.7,7.1,1.644847799,4.865147898,4.50072505,1.784242988,1.421331421,103
947034,11:09:26,148.3820979,946776,947034,947034,947079,947079,947020,947050,947091,25.8,0,4.5,7.1,1.441767409,5.006357501,5.006357501,1.482436551,1.482436551,103
1220971,18:46:00,138.8989328,1220709,1220973,1220990,1221038,1221113,1220969,1221003,1221052,26.4,1.7,4.8,8.3,1.416912192,4.681321133,4.637157712,1.691706107,1.461765981,103
1222338,18:48:16,126.3306051,1221828,1222339,1222345,1222387,1222387,1222333,1222361,1222414,51.1,0.6,4.2,8.1,1.408173827,4.948806293,4.643520394,1.423433737,1.423433737,103
1209122,18:26:15,132.4956699,1208803,1209122,1209122,1209159,1209170,1209100,1209136,1209177,31.9,0,3.7,7.7,2.020547002,5.979156333,5.979156333,1.892418805,1.79222446,103
893534,9:40:16,136.9965319,893113,893533,893538,893577,893590,893519,893549,893577,42,0.5,3.9,5.8,1.989619157,5.062298831,5.009362112,1.977738591,1.845486988,103
1124846,16:05:47,75.92985384,1124484,1124844,1124864,1124911,1124919,1124842,1124881,1124935,36,2,4.7,9.3,1.453960791,4.661541111,4.263981017,1.774699369,1.723122557,103
341317,18:19:54,132.876082,340847,341316,341316,341363,341405,341305,341333,341373,46.9,0,4.7,6.8,1.354045024,4.45855068,4.45855068,1.360699273,1.211673565,103
843621,8:17:05,110.0253073,843208,843621,843643,843683,843707,843622,843665,843704,41.3,2.2,4,8.2,1.455988051,4.861552653,4.724293141,1.7960901,1.429714379,103
1176636,17:32:06,150.4184075,1176016,1176636,1176636,1176678,1176678,1176620,1176647,1176689,62,0,4.2,6.9,1.360028786,5.201987508,5.201987508,1.448037908,1.448037908,103
