LungeI,timeoflunge,depth,PosFluSt,PosMaxSpd,PosBegDecel,PosEndDecel,PosMinSpd,PosDownStr,PosMaxGape,PosGyroFin,LengthAcc,LengthAdj,LengthDecel,LengthGyro,SpdFluSt,MaxSpd,SpdBegDecel,SpdEndDecel,MinSpd,lungecat
263313,23:21:13,42.73284357,263228,263313,263313,263337,263348,263310,263322,263350,8.5,0,2.4,4,1.340248775,3.606142963,3.606142963,1.378791433,1.19509704,103
236292,22:36:10,56.54074833,236180,236292,236292,236320,236330,236288,236310,236334,11.2,0,2.8,4.6,1.485461701,2.780576911,2.780576911,1.177856344,1.141810609,103
280593,23:50:01,29.82056506,280508,280591,280591,280627,280627,280582,280605,280625,8.3,0,3.6,4.3,1.567572175,3.716749806,3.716749806,1.231460422,1.231460422,103
324620,1:03:23,31.03614798,324513,324623,324623,324653,324653,324602,324621,324648,11,0,3,4.6,1.662939817,2.758836956,2.758836956,1.212902749,1.212902749,103
261425,23:18:04,41.33192181,261363,261427,261427,261456,261458,261430,261436,261454,6.4,0,2.9,2.4,1.49690841,2.997941403,2.997941403,1.166348908,1.147094505,103
319496,0:54:51,33.17237542,319403,319498,319498,319522,319522,319478,319494,319527,9.5,0,2.4,4.9,1.594365927,3.35069955,3.35069955,1.346712211,1.346712211,103
336303,1:22:52,29.60411645,336153,336304,336312,336335,336378,336285,336300,336335,15.1,0.8,2.3,5,1.496005773,3.166880096,3.076663301,1.583256398,1.303123278,103
360595,2:03:21,27.45853406,360417,360595,360595,360621,360628,360575,360597,360625,17.8,0,2.6,5,1.642482006,3.928104592,3.928104592,1.55826677,1.444126391,103
333076,1:17:29,26.76133345,332970,333076,333076,333103,333116,333064,333082,333102,10.6,0,2.7,3.8,1.407227744,3.665023021,3.665023021,1.388893181,1.201022505,103
229903,22:25:32,26.24600741,229831,229902,229902,229936,229943,229895,229916,229937,7.1,0,3.4,4.2,1.48711119,3.258558481,3.258558481,1.3459573,1.22370916,103
362936,2:07:15,26.13075826,362883,362940,362940,362970,362970,362926,362944,362965,5.7,0,3,3.9,1.517334707,3.535435531,3.535435531,1.357525293,1.357525293,103
366081,2:12:29,33.61848101,366015,366077,366086,366109,366109,366065,366083,366110,6.2,0.9,2.3,4.5,1.66891919,3.029981997,2.929127133,1.358863791,1.358863791,103
311681,0:41:49,28.52402494,311603,311681,311681,311707,311707,311666,311686,311705,7.8,0,2.6,3.9,1.296547741,3.33043465,3.33043465,1.246961917,1.246961917,103
362323,2:06:14,26.42139594,362219,362323,362323,362353,362374,362315,362334,362352,10.4,0,3,3.7,1.46389316,4.1734196,4.1734196,1.362568849,1.204670084,103
366859,2:13:47,39.8531768,366801,366838,366862,366891,366894,366841,366857,366890,3.7,2.4,2.9,4.9,1.694969068,2.510660183,2.494589043,1.281573603,1.274109713,103
281310,23:51:12,25.56956505,281250,281311,281311,281338,281344,281299,281319,281341,6.1,0,2.7,4.2,1.844353797,3.367636327,3.367636327,1.365786529,1.225222393,103
230870,22:27:08,26.21467703,230793,230872,230872,230903,230903,230861,230878,230908,7.9,0,3.1,4.7,1.743979613,3.374442215,3.374442215,1.228375986,1.228375986,103
315925,0:48:54,26.01714944,315874,315927,315927,315956,315957,315916,315934,315954,5.3,0,2.9,3.8,1.918074081,3.861610075,3.861610075,1.293805447,1.294466601,103
345072,1:37:28,30.28185034,345000,345070,345070,345101,345102,345060,345083,345102,7,0,3.1,4.2,1.339831524,3.854644188,3.854644188,1.270562952,1.239849384,103
356911,1:57:12,33.83041219,356835,356913,356913,356935,356935,356895,356910,356937,7.8,0,2.2,4.2,1.290684352,3.538323869,3.538323869,1.36336493,1.36336493,103
666346,10:32:56,45.77577436,666263,666346,666362,666377,666415,666348,666370,666384,8.3,1.6,1.5,3.6,1.613210583,4.742082442,4.513172422,2.28109431,1.339219067,103
668479,10:36:29,113.6890823,668366,668475,668484,668496,668532,668461,668489,668504,10.9,0.9,1.2,4.3,1.993479864,5.064310208,4.962206301,2.707604866,1.62654719,103
240610,22:43:22,42.5670535,240449,240609,240609,240645,240676,240607,240627,240654,16,0,3.6,4.7,1.457909382,3.40582827,3.40582827,1.278344551,1.161745754,103
323790,1:02:00,31.74460766,323693,323791,323791,323820,323820,323766,323783,323818,9.8,0,2.9,5.2,1.738219253,2.967486911,2.967486911,1.233935446,1.233935446,103
256120,23:09:13,30.05006279,256032,256118,256125,256149,256157,256104,256123,256157,8.6,0.7,2.4,5.3,1.220186383,3.476165083,3.304603094,1.293476621,1.224433131,103
312932,0:43:54,27.97410433,312864,312932,312932,312961,312961,312922,312940,312961,6.8,0,2.9,3.9,1.791077067,3.583432452,3.583432452,1.34092819,1.34092819,103
392538,2:56:35,57.62464909,392498,392537,392537,392569,392591,392535,392553,392579,3.9,0,3.2,4.4,1.779973065,2.552859523,2.552859523,1.241753111,1.161414545,103
314181,0:45:59,31.76268107,314089,314181,314181,314202,314226,314157,314175,314202,9.2,0,2.1,4.5,1.2188587,3.335145478,3.335145478,1.377425933,1.197274594,103
339770,1:28:38,26.27128994,339701,339770,339770,339800,339800,339757,339777,339795,6.9,0,3,3.8,1.455847426,3.625048768,3.625048768,1.268219495,1.268219495,103
349464,1:44:48,38.20765067,349370,349466,349483,349504,349508,349461,349477,349504,9.6,1.7,2.1,4.3,1.443809725,2.810124651,2.578631632,1.275011475,1.210562692,103
358591,2:00:00,31.97967301,358454,358589,358589,358625,358626,358578,358601,358623,13.5,0,3.6,4.5,1.58704844,3.374858201,3.374858201,1.31892774,1.320750153,103
261863,23:18:48,40.79749248,261803,261863,261863,261882,261898,261862,261878,261906,6,0,1.9,4.4,1.561385969,3.730867103,3.730867103,1.627142288,1.121227773,103
317990,0:52:20,36.02412866,317920,317989,317989,318021,318027,317979,317996,318020,6.9,0,3.2,4.1,1.471412506,3.559292628,3.559292628,1.297635663,1.265557785,103
343962,1:35:37,34.94109707,343836,343962,343962,343989,343992,343950,343970,343993,12.6,0,2.7,4.3,1.607834707,3.495916806,3.495916806,1.292817312,1.277494297,103
243227,22:47:44,26.57143063,243155,243228,243228,243254,243263,243218,243238,243256,7.3,0,2.6,3.8,1.426838465,3.368895868,3.368895868,1.586077163,1.320612792,103
237218,22:37:43,32.09684048,237155,237216,237216,237253,237282,237212,237228,237256,6.1,0,3.7,4.4,1.621550722,3.408693783,3.408693783,1.290081445,1.185945103,103
346723,1:40:14,31.22645433,346630,346723,346723,346749,346762,346712,346735,346754,9.3,0,2.6,4.2,1.364187763,3.418122109,3.418122109,1.435649808,1.220824882,103
278407,23:46:22,29.56004402,278191,278405,278430,278453,278461,278401,278423,278452,21.4,2.5,2.3,5.1,1.751939956,3.183407892,3.137210552,1.268896631,1.231740232,103
368643,2:16:46,46.91212135,368581,368640,368649,368676,368686,368638,368654,368676,5.9,0.9,2.7,3.8,1.905965397,2.803056068,2.674421703,1.237970606,1.174055745,103
234500,22:33:11,29.21472177,234454,234502,234502,234532,234532,234492,234508,234533,4.8,0,3,4.1,2.005803076,3.1243318,3.1243318,1.193777947,1.193777947,103
255753,23:08:37,35.96033098,255672,255755,255755,255788,255804,255746,255768,255790,8.3,0,3.3,4.4,1.457270001,3.452961542,3.452961542,1.230847784,1.192100511,103
350191,1:46:00,31.8464715,350094,350189,350189,350217,350217,350179,350196,350217,9.5,0,2.8,3.8,1.32779768,3.599310697,3.599310697,1.221226751,1.221226751,103
241849,22:45:26,35.82085704,241631,241849,241849,241878,241878,241828,241857,241873,21.8,0,2.9,4.5,1.432950416,3.19820644,3.19820644,1.20814548,1.20814548,103
333465,1:18:08,27.42457942,333340,333463,333463,333493,333493,333451,333469,333491,12.3,0,3,4,1.431500757,3.650226726,3.650226726,1.223643695,1.223643695,103
264940,23:23:55,37.94460091,264844,264936,264936,264954,264966,264934,264949,264976,9.2,0,1.8,4.2,1.394608843,4.087628423,4.087628423,1.718994595,1.304805357,103
213805,21:58:42,42.81569639,213704,213806,213826,213846,213854,213805,213823,213857,10.2,2,2,5.2,2.006079088,3.216113714,2.784769705,1.337908908,1.199931272,103
354144,1:52:36,37.89795157,354015,354144,354144,354173,354173,354142,354156,354175,12.9,0,2.9,3.3,1.523547371,3.449711063,3.449711063,1.236121083,1.236121083,103
348740,1:43:35,36.03558171,348637,348745,348745,348766,348774,348723,348739,348764,10.8,0,2.1,4.1,1.440662619,2.913094682,2.913094682,1.292095223,1.230082136,103
262998,23:20:41,35.99912715,262761,262995,263016,263030,263035,262989,263009,263023,23.4,2.1,1.4,3.4,1.302397268,3.25120488,3.061062628,1.410832527,1.249316451,103
363344,2:07:56,32.58793658,363282,363344,363344,363375,363375,363331,363352,363373,6.2,0,3.1,4.2,1.341405654,3.36468629,3.36468629,1.251208635,1.251208635,103
359329,2:01:14,30.25168536,359262,359329,359329,359358,359389,359318,359338,359356,6.7,0,2.9,3.8,1.440418628,4.252960168,4.252960168,1.403093189,1.17885042,103
327848,1:08:46,34.26690882,327734,327850,327850,327872,327872,327827,327842,327874,11.6,0,2.2,4.7,1.346726526,3.352794844,3.352794844,1.278584199,1.278584199,103
325405,1:04:42,31.51043503,325280,325408,325408,325430,325459,325387,325403,325429,12.8,0,2.2,4.2,1.437061924,3.108884242,3.108884242,1.301713526,1.188264161,103
