LungeI,timeoflunge,depth,PosFluSt,PosMaxSpd,PosBegDecel,PosEndDecel,PosMinSpd,PosDownStr,PosMaxGape,PosGyroFin,LengthAcc,LengthAdj,LengthDecel,LengthGyro,SpdFluSt,MaxSpd,SpdBegDecel,SpdEndDecel,MinSpd,lungecat
612157,9:12:34,61.02041575,612047,612151,612159,612175,612192,612156,612167,612175,10.4,0.8,1.6,1.9,2.122376654,5.417022759,5.154608861,2.411071427,2.048904796,103
182567,21:16:35,26.01252897,182504,182565,182572,182582,182593,182565,182574,182580,6.1,0.7,1,1.5,2.494661165,5.659570623,5.429156699,2.523813645,2.208933699,103
738291,12:42:48,120.0039921,738165,738286,738295,738306,738310,738291,738300,738306,12.1,0.9,1.1,1.5,2.27608082,5.730938602,5.380215709,2.946174424,2.662194861,103
607062,9:04:05,70.30537008,606960,607062,607062,607082,607088,607065,607076,607084,10.2,0,2,1.9,2.714899567,5.318264483,5.318264483,2.285335114,2.114107202,103
83156,18:30:53,70.90758974,83117,83157,83157,83171,83187,83156,83161,83169,4,0,1.4,1.3,2.551943118,5.273856461,5.273856461,2.426420046,2.15165696,103
672885,10:53:47,94.8953262,672811,672880,672895,672904,672922,672889,672896,672903,6.9,1.5,0.9,1.4,2.396612509,5.283545398,4.732777999,2.261512412,1.904364367,103
769570,13:34:56,119.5483336,769529,769562,769574,769584,769606,769565,769579,769584,3.3,1.2,1,1.9,2.375170613,5.044242711,4.655391382,2.502366228,1.89546722,103
172064,20:59:04,37.32446448,172016,172067,172067,172078,172098,172060,172069,172076,5.1,0,1.1,1.6,2.92496027,5.649196573,5.649196573,2.710669483,2.23911639,103
163876,20:45:25,52.08751845,163822,163878,163882,163895,163914,163875,163883,163891,5.6,0.4,1.3,1.6,2.443908907,5.81890864,5.671341878,2.41660486,2.235772862,103
684220,11:12:41,107.319857,684157,684223,684224,684240,684258,684220,684228,684239,6.6,0.1,1.6,1.9,2.155367845,5.733110872,5.714249574,2.303917834,1.789197179,103
672736,10:53:32,92.47536661,672556,672727,672742,672752,672757,672737,672747,672754,17.1,1.5,1,1.7,2.416693103,5.660216678,5.163461093,2.579427271,2.310115073,103
765498,13:28:08,132.859812,765453,765500,765500,765511,765544,765496,765503,765514,4.7,0,1.1,1.8,1.824133644,5.833354473,5.833354473,2.992711409,2.105461164,103
171950,20:58:53,34.86935071,171881,171948,171954,171964,171984,171948,171957,171962,6.7,0.6,1,1.4,2.523486613,5.310119682,5.072325673,2.385767436,2.05480851,103
607178,9:04:16,74.42809144,607128,607176,607185,607197,607202,607180,607190,607198,4.8,0.9,1.2,1.8,2.164757564,5.413174305,4.935861351,2.441715438,2.234324224,103
683624,11:11:41,88.29723713,683542,683626,683626,683640,683663,683620,683631,683641,8.4,0,1.4,2.1,3.16700959,5.110511682,5.110511682,2.327172124,2.060249082,103
421757,3:55:14,26.7919533,421718,421755,421762,421782,421786,421755,421766,421779,3.7,0.7,2,2.4,2.232664096,4.336106631,4.026842681,2.017681597,1.938226065,103
700143,11:39:13,102.610519,700091,700141,700146,700158,700175,700142,700152,700159,5,0.5,1.2,1.7,1.808205195,5.315917664,5.280155778,2.392969802,1.74427872,103
140461,20:06:24,41.80545013,140386,140464,140466,140476,140481,140462,140468,140474,7.8,0.2,1,1.2,2.325766262,5.579111761,5.479262028,2.569749699,2.285222252,103
161692,20:41:47,48.48655512,161590,161688,161699,161713,161725,161694,161701,161708,9.8,1.1,1.4,1.4,2.148213309,5.841515931,5.267586949,2.379927187,2.106572098,103
761223,13:21:01,133.1424226,761162,761220,761231,761240,761266,761224,761232,761239,5.8,1.1,0.9,1.5,2.122557602,5.868143513,5.023973938,2.732226307,2.238218433,103
755412,13:11:20,125.6522608,755333,755410,755420,755427,755451,755413,755421,755427,7.7,1,0.7,1.4,1.893443016,5.259991961,4.908599525,2.637428494,2.066957953,103
617288,9:21:07,73.84289718,617167,617284,617294,617302,617329,617288,617295,617302,11.7,1,0.8,1.4,2.060132188,5.412444074,4.986134695,2.385903484,1.869217733,103
740902,12:47:09,111.5963825,740844,740893,740904,740916,740960,740898,740909,740916,4.9,1.1,1.2,1.8,3.772779682,5.592628684,5.543512109,2.766386504,2.069320933,103
657773,10:28:36,119.8238745,657710,657771,657778,657791,657826,657774,657782,657790,6.1,0.7,1.3,1.6,2.179558108,5.398038242,5.284660312,2.347443316,2.088555836,103
52877,17:40:25,85.38415162,52800,52880,52880,52894,52913,52873,52883,52891,8,0,1.4,1.8,3.093123898,5.030604665,5.030604665,2.204883527,2.115864835,103
609767,9:08:35,66.2364623,609622,609767,609767,609782,609788,609768,609776,609783,14.5,0,1.5,1.5,2.135737423,5.31082055,5.31082055,2.536989015,2.3664911,103
749196,13:00:58,117.7312792,749146,749196,749197,749210,749257,749194,749201,749209,5,0.1,1.3,1.5,1.998781711,5.640081863,5.607555011,2.665780441,1.91116822,103
97441,18:54:41,42.18224553,97225,97444,97444,97456,97484,97440,97447,97454,21.9,0,1.2,1.4,2.599485098,5.346054305,5.346054305,2.405268614,2.022106639,103
711295,11:57:48,105.0848753,711262,711297,711297,711312,711351,711296,711303,711311,3.5,0,1.5,1.5,2.470235565,5.255730465,5.255730465,2.252998624,1.798760349,103
422077,3:55:46,32.83370612,422013,422079,422079,422099,422115,422074,422083,422094,6.6,0,2,2,2.19731932,4.121102184,4.121102184,1.964066894,1.88281834,103
649213,10:14:20,67.88043477,649035,649209,649215,649228,649232,649213,649221,649228,17.4,0.6,1.3,1.5,2.94834409,5.450548653,5.347126615,2.17490619,2.071051389,103
419303,3:51:08,30.04532019,419264,419304,419306,419323,419323,419300,419310,419319,4,0.2,1.7,1.9,2.539759291,4.415513573,4.370088452,1.907574123,1.907574123,103
86660,18:36:43,59.5535235,86615,86665,86665,86677,86700,86661,86670,86675,5,0,1.2,1.4,3.643438981,4.754154912,4.754154912,2.446048259,1.985110131,103
140587,20:06:37,35.10012651,140536,140590,140590,140602,140629,140585,140593,140601,5.4,0,1.2,1.6,2.646850907,5.358511867,5.358511867,2.562509721,2.392447966,103
168361,20:52:54,40.73700125,168261,168359,168367,168383,168399,168360,168369,168376,9.8,0.8,1.6,1.6,2.256034556,5.380454564,5.09766203,2.207486284,2.017397775,103
165175,20:47:35,40.05673837,165144,165175,165176,165190,165208,165174,165178,165186,3.1,0.1,1.4,1.2,2.312957654,5.496044376,5.453657126,2.559238629,2.060710019,103
649703,10:15:09,79.80503748,649637,649698,649702,649715,649759,649699,649707,649716,6.1,0.4,1.3,1.7,3.287310733,5.799869252,5.723694386,2.658640043,1.794521211,103
136933,20:00:31,39.91240581,136823,136935,136935,136949,136962,136929,136939,136948,11.2,0,1.4,1.9,2.438354957,5.536320476,5.536320476,2.285180243,2.163619187,103
644588,10:06:37,82.64219025,644496,644597,644605,644618,644643,644599,644609,644618,10.1,0.8,1.3,1.9,1.995208404,5.901820548,5.795275675,2.494747832,1.86896869,103
163583,20:44:56,53.71893716,163542,163587,163587,163602,163634,163583,163590,163597,4.5,0,1.5,1.4,2.319826384,4.985280944,4.985280944,2.244664874,1.847058126,103
585325,8:27:51,30.6306794,585253,585325,585327,585348,585357,585323,585341,585354,7.2,0.2,2.1,3.1,2.161148642,4.832753299,4.774463823,2.43583092,1.961834601,103
713779,12:01:56,112.6551454,713729,713775,713782,713796,713833,713779,713790,713798,4.6,0.7,1.4,1.9,2.180778275,5.886509731,5.668866732,2.835593381,2.12110111,103
765205,13:27:39,129.2181237,765124,765204,765205,765219,765236,765203,765213,765219,8,0.1,1.4,1.6,2.203759968,5.089512722,5.048920782,2.272701152,1.821046101,103
629419,9:41:20,65.49317363,629368,629414,629422,629432,629453,629418,629426,629434,4.6,0.8,1,1.6,3.444075768,4.967506409,4.807968137,2.656761583,2.166201278,103
54814,17:43:39,67.45991003,54776,54816,54816,54828,54856,54809,54818,54825,4,0,1.2,1.6,2.878610138,4.809565792,4.809565792,2.236680846,2.21105764,103
737007,12:40:39,113.1009029,736950,737012,737014,737025,737066,737006,737016,737025,6.2,0.2,1.1,1.9,3.735619899,5.747553128,5.64133049,3.041784309,1.962173268,103
82772,18:30:15,77.40006546,82682,82774,82774,82789,82808,82765,82778,82786,9.2,0,1.5,2.1,2.411715636,5.573595533,5.573595533,2.489605377,2.192074083,103
744976,12:53:56,105.4931746,744946,744981,744981,744993,745058,744979,744985,744994,3.5,0,1.2,1.5,2.424191698,5.640302226,5.640302226,2.736523855,1.793843158,103
